Respondent ID,Collector ID,Start Date,End Date,Do you use GitHub?,Do you implement GitHub in the classroom?,How familiar are you with GitHub?,How likely is it that you would recommend GitHub to a friend or colleague?,Do you use any sort of version control system in your classes?,Do you use GitHub Classroom?,What version control systems do you use in your course(s)? Select all that apply,,,,Which of the following Git features do you use in your courses?,,,,,,,,Which of the following GitHub features do you use in your courses? (Select all that apply),,,,,,,,,,,,Do you use GitHub to provide students in your course(s) with feedback on assignments?,Do students in your course(s) use GitHub to provide each other with feedback on assignments?,How long have you been using GitHub?,How long have you been implementing GitHub in your course(s)?,"In the future, will you continue to use GitHub in your course(s)?","In the future, will you use GitHub in your course(s)?",How easy or difficult was it to implement GitHub in the classroom?,How familiar were you with GitHub before implementing it in the classroom?,What tool(s) or resource(s) did you use to help with implementing GitHub in the classroom?,Which programming language(s) do you teach? (Select all that apply),,,,,,,,,,,,,What grade(s) or year(s) do you typically teach?,,,,,,,,,,,"In the course(s) where you implement GitHub, roughly what percentage of students' overall grade is determined by individual assignments?","In the course(s) where you implement GitHub, roughly what percentage of students' overall grade is determined by group assignments?",Roughly what percentage of students' overall grade is determined by individual assignments?,Roughly what percentage of students' overall grade is determined by group assignments?,Which of the following integrated development environments (IDEs) do students typically use in your courses? Select all that apply,,,,,,,,,,,,,,,,,About how many years have you been an instructor in your field?,What courses do you typically teach?,,,,,,,,,,,,,,,,,,,,,,,Age,Gender,,Race and Ethnicity (Select all that apply),,,,,,,,In what country do you live?
,,,,Response,Response,Response,Response,Response,Response,Git,Mercurial,Subversion,Other (please specify),Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,Rebase,Git-cherry-pick,Other (please specify),Issues,Labels,README.md,Pull requests,Projects,Forks,Stars,Gists,Insights,GitHub pages,None of the above,Other (please specify),Response,Response,Response,Response,Response,Response,Response,Response,Open-Ended Response,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,C#,PHP,C++,C,Other(s) (please specify),High school freshmen,High school sophomores,High school juniors,High school seniors,College freshmen,College sophomores,College juniors,College seniors,Graduate level students,Non-traditional students,Other (please specify),Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Android Studio,Atom,Eclipse,Emacs,IntelliJ,IPython / Jupyter,NetBeans,Notepad++,PHPStorm,PyCharm,RStudio,Sublime Text,Vim,Visual Studio,Visual Studio Code,XCode,Other (please specify),Open-Ended Response,Algorithms,AP Computer Science - A,AP Computer Science - Principles,Architecture and Organization,Artificial Intelligence,Computer Science I,Computer Science II,Cryptography,Data Structures,Graphics and Visualization,Human-Computer Interaction,Machine Learning,Networking and Communication,Operating Systems,Parallel and Distributed Computing,Platform-based Development,Programming Languages,Security,Software Development Fundamentals,Software Engineering,Systems Architecture,Web development,Other (please specify),Open-Ended Response,Response,Prefer to self-describe,Black or of African descent,East Asian,Hispanic or Latino/Latina,Middle Eastern,"Native American, Pacific Islander, or Indigenous Australian",South Asian,White or of European descent,Other (please specify),Response
10754263284,230691319,5/24/19 11:58,5/24/19 12:07,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,No,Git,,,,Commits,Branches,,Push / Pull,,,,,,,README.md,,,Forks,,,,GitHub pages,,,No,No,More than 3 years,1 year - 3 years,Yes,,Easy,Moderately familiar,The Programming Historian and Profhacker blog,,,,,,Bash/Shell,,,,,,,,,,,,College freshmen,College sophomores,College juniors,College seniors,Graduate level students,,,100,,,,,Atom,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,Digital Humanities; Media Studies; Literary History,34,Male,,,,,,,,White or of European descent,,United States of America
10748284656,230691319,5/22/19 8:42,5/22/19 8:49,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,No,Git,,,,Commits,Branches,,Push / Pull,Resolving merge conflicts,Rebase,,,,,README.md,,,,,,,,,,No,No,More than 3 years,1 year - 3 years,Yes,,Easy,Very familiar,ability to reference code in lectures/emails,,,,,Java,,,,,,,,processing / arduino,,,,,College freshmen,College sophomores,College juniors,College seniors,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10723433669,230691319,5/11/19 11:19,5/11/19 11:24,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,9,Yes,Yes,Git,,,,Commits,Branches,,Push / Pull,Resolving merge conflicts,,,,,,,Pull requests,,,,,,,,,Yes,No,More than 3 years,1 year - 3 years,Yes,,Difficult,Very familiar,,,,,,Java,,,,C#,,,,,,,High school juniors,High school seniors,,,,,,,,76,25,,,,,,,IntelliJ,,,,,,,,,Visual Studio,,,,3,,,,,,,,,,,,,,,,,,,Software Development Fundamentals,,,,,,,,,,,,,,,,
10707827822,230691319,5/4/19 19:11,5/4/19 19:18,"No, but I used to use GitHub","No, but I would like to implement GitHub in the classroom",Slightly familiar,6,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maybe,,,,JavaScript,HTML,CSS,SQL,Java,,Python,,,PHP,,,,,,,,College freshmen,,College juniors,College seniors,,,,,,40,10,,,,,IntelliJ,IPython / Jupyter,,Notepad++,PHPStorm,,,,Vim,,,,,38,,,,,,,,,Data Structures,,,,,,,,,,,,,Web development,,65,Male,,,,,,,,White or of European descent,,United States of America
10695704135,230691319,4/29/19 17:40,4/29/19 17:47,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,,,,,,README.md,Pull requests,Projects,Forks,,,,,,,Yes,Yes,More than 3 years,More than 3 years,Yes,,Neither easy nor difficult,Very familiar,Education forums,,,,,,,Python,,,PHP,,,,,,,,College freshmen,,,College seniors,,,,75,25,,,,Atom,,,,,,Notepad++,PHPStorm,PyCharm,,,,,Visual Studio Code,,,21,,,,,,Computer Science I,Computer Science II,,,,,,,,,,,,Software Development Fundamentals,,,Web development,,41,Male,,,,,,,,White or of European descent,,Australia
10687488952,230691319,4/25/19 9:50,4/25/19 9:59,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,9,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,,,,Issues,Labels,README.md,Pull requests,,,,,,GitHub pages,,,Yes,No,More than 3 years,More than 3 years,Yes,,Easy,Very familiar,"Browser, Git CLI, SourceTree",JavaScript,HTML,CSS,,,,,,,,C++,C,"Haskell, Go, Typescript",,,,,,,College juniors,College seniors,Graduate level students,,,40,40,,,,,,,IntelliJ,,,,,,,,,,Visual Studio Code,,,15,Algorithms,,,,,,,,,,,,,,Parallel and Distributed Computing,,,,Software Development Fundamentals,Software Engineering,,,Functional Programming,47,Male,,,,,,,,,European,Germany
10684818482,230691319,4/24/19 10:25,4/24/19 10:34,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Very familiar,10,Yes,,Git,,Subversion,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,,,,,,,,,,,,,,,,,,1 year - 3 years,,,Yes,,,,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,,,,PHP,C++,C,,,,,,,,,,Graduate level students,,Post graduated students,,,,,Android Studio,,Eclipse,,,,NetBeans,,,,,Sublime Text,,,Visual Studio Code,,,18,Algorithms,,,,,,,Cryptography,,,,Machine Learning,,Operating Systems,,,Programming Languages,,,,,Web development,,40,Male,,,,,,,,,,Vietnam
10683807434,230691319,4/24/19 4:23,4/24/19 4:29,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Moderately familiar,8,"No, but I would like to",No,,,,,,,,,,,,,,,README.md,Pull requests,,,,,,GitHub pages,,,No,No,More than 3 years,1 - 6 months,Yes,,Neither easy nor difficult,Moderately familiar,,JavaScript,HTML,CSS,,,,,,,,,,,,,,,College freshmen,College sophomores,,,,,,5,5,,,,,,,,,,Notepad++,,,,Sublime Text,,,Visual Studio Code,,,20,,,,,,,,,,,Human-Computer Interaction,,Networking and Communication,,,,Programming Languages,,,,,Web development,,50,Male,,,,,,,,,,
10683069212,230691319,4/23/19 18:44,4/23/19 18:48,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Very familiar,10,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,More than 3 years,,,Yes,,,,JavaScript,HTML,CSS,,,,,,,,C++,,,,,,,College freshmen,College sophomores,College juniors,College seniors,,,,,,25,0,,,,,,,,Notepad++,,,,,,Visual Studio,Visual Studio Code,,,3,,,,,,Computer Science I,,,,,,,,,,,,,Software Development Fundamentals,,,Web development,,30,Male,,,,,,,,White or of European descent,,United States of America
